30,77
8,52
33,65
75,34
57,22
36,65
8,23
75,56
43,31
29,41
92,9
24,28
97,34
94,35
44,60
50,84
97,56
6,16
39,96
61,8
44,7
90,25
87,96
52,80
36,24
72,31
40,87
89,80
97,93
6,46
85,80
74,35
75,95
2,68
74,54
22,26
79,27
95,46
71,26
75,11
43,20
92,8
22,45
56,65
30,25
71,45
73,96
29,96
29,17
89,79
88,45
69,43
44,53
54,45
72,20
92,67
13,12
44,41
34,0
57,55
68,42
35,82
90,95
59,14
56,24
70,35
40,98
77,3
69,57
90,11
70,30
20,12
16,26
50,37
48,87
94,55
67,4
99,16
83,49
13,97
27,3
16,45
25,83
14,54
4,23
30,73
59,77
57,0
90,75
84,81
63,2
58,54
13,74
2,96
15,86
64,92
42,37
38,12
39,42
53,26
44,86
84,22
60,21
40,68
63,22
41,37
14,81
76,18
59,25
1,3
38,97
57,12
58,2
17,49
64,43
99,83
13,31
50,51
89,56
20,18
79,55
36,80
38,74
47,65
97,52
20,31
17,67
97,23
64,57
61,76
37,80
48,68
72,32
98,96
89,95
15,9
94,3
47,24
59,13
59,73
13,88
92,28
33,79
52,11
81,66
74,33
36,79
79,0
76,5
76,60
42,51
36,48
84,78
41,82
7,96
92,76
63,78
20,88
69,22
91,35
91,54
13,60
15,89
38,18
30,16
36,14
43,10
56,80
91,30
40,96
84,40
38,31
84,0
2,42
17,69
42,21
20,60
30,46
48,32
44,89
72,10
71,27
1,87
23,82
25,45
15,67
36,77
83,28
92,85
70,3
68,37
76,41
43,9
57,31
38,88
44,67
50,1
50,71
67,52
13,41
67,23
69,55
35,11
72,9
38,60
48,10
58,33
79,3
84,12
16,27
38,7
63,12
43,8
30,83
64,81
62,3
33,25
51,35
36,25
51,54
69,40
83,85
99,26
98,42
71,35
69,0
50,4
31,26
71,54
43,67
72,8
61,62
47,82
63,97
59,16
31,45
64,22
39,37
50,34
38,53
68,82
50,56
15,65
87,37
72,67
76,86
38,41
61,14
52,46
27,32
40,42
85,46
84,74
13,86
63,74
33,95
68,51
44,65
66,4
33,73
36,95
36,73
47,80
16,35
70,87
15,24
16,54
42,4
36,11
74,98
48,8
73,37
29,37
1,68
92,14
61,21
66,34
58,97
69,12
44,24
41,4
42,56
33,75
71,55
36,75
63,18
42,93
88,55
30,44
92,77
54,55
58,74
15,58
62,87
84,31
70,98
63,31
64,78
65,86
46,34
10,22
1,32
15,76
87,82
91,3
38,86
35,46
39,51
91,59
14,18
84,36
8,54
64,40
63,36
87,51
23,34
2,37
84,20
50,64
84,88
63,88
29,82
80,18
39,21
20,9
97,66
30,26
29,72
6,27
77,8
73,51
29,51
94,32
63,5
63,60
30,45
10,55
61,73
43,76
61,13
70,68
72,28
69,31
17,48
36,16
57,10
14,5
64,12
72,76
33,46
36,46
92,73
59,44
92,13
84,53
94,96
22,3
69,36
94,10
58,60
97,47
2,82
71,3
50,52
80,5
91,87
63,41
88,3
50,23
98,37
64,97
15,80
4,35
68,34
69,20
25,35
4,54
81,78
68,56
2,72
25,54
74,96
39,1
53,0
2,51
57,9
48,28
39,71
99,27
6,22
87,71
7,37
44,80
47,95
1,8
91,15
16,33
72,85
14,41
95,22
47,11
64,74
67,66
40,37
56,46
66,52
79,32
38,67
15,48
96,18
66,23
16,3
42,52
80,53
52,26
12,22
76,65
42,23
58,41
93,22
44,79
57,8
15,14
96,31
10,12
59,45
13,65
39,4
87,4
76,24
84,86
94,8
48,85
63,86
98,82
39,56
13,24
15,77
87,34
61,38
99,35
64,31
87,56
31,35
79,10
31,54
50,94
39,93
95,55
73,4
98,51
20,24
7,82
44,77
62,10
87,93
14,86
60,45
96,5
96,60
94,42
29,34
93,55
73,56
29,56
91,68
6,40
72,62
43,14
92,16
2,1
74,19
17,13
64,20
6,0
64,88
40,72
12,78
27,28
38,65
77,76
40,51
80,86
73,93
74,42
95,0
15,25
72,14
64,60
3,35
69,32
38,24
20,76
43,77
3,54
97,81
93,0
44,25
84,9
30,27
24,45
72,21
2,4
79,8
10,31
19,18
47,46
75,22
70,42
89,43
61,52
62,8
84,89
2,34
14,19
27,85
63,89
2,56
84,49
15,73
15,13
64,53
1,28
95,12
67,35
67,54
89,57
69,10
92,83
2,93
44,95
58,19
33,26
51,7
44,73
25,3
36,26
91,96
84,67
44,11
90,22
63,67
29,64
62,42
36,45
32,0
76,80
57,76
58,89
40,71
37,45
96,86
19,60
94,28
69,9
44,75
13,80
98,4
8,18
51,41
1,85
17,16
56,26
22,32
43,13
43,73
39,52
83,52
97,78
71,32
39,23
83,23
81,7
98,34
17,46
56,45
49,46
7,4
98,56
87,23
64,86
61,44
69,49
13,79
75,0
50,66
90,55
72,13
72,73
69,8
40,4
98,93
99,3
7,34
2,64
31,3
48,71
73,52
6,31
69,67
51,96
73,23
84,65
50,92
40,56
63,65
77,21
30,55
95,31
20,14
16,32
12,18
71,96
70,84
38,80
81,41
68,90
40,93
26,0
8,5
94,37
15,16
13,77
96,9
78,82
93,31
63,24
91,42
28,34
14,65
17,83
79,28
59,35
15,46
50,47
59,54
20,77
44,16
74,37
48,4
38,79
61,45
78,51
62,28
10,32
89,22
79,76
16,96
80,65
58,65
92,26
16,10
81,96
84,58
54,9
19,86
92,45
8,41
84,76
12,5
12,60
90,12
13,25
48,93
43,38
64,89
70,37
60,35
60,54
39,90
99,87
81,86
43,16
1,21
57,14
38,77
20,25
71,8
79,85
88,8
72,38
51,19
29,63
91,29
62,85
94,51
52,55
59,55
64,67
74,82
4,5
57,77
76,11
13,95
62,37
13,73
30,3
12,41
36,27
71,42
74,51
13,11
