810,0,1
857,0,1
811,2,0
858,0,1
859,3,1
860,3,1
769,2,1
861,3,0
840,0,1
862,3,1
863,2,1
729,0,1
864,0,1
865,1,1
866,0,1
867,3,0
697,1,0
868,3,1
869,0,1
708,0,1
776,3,1
870,2,1
819,0,0
871,1,0
872,0,0
703,2,0
873,3,1
800,0,0
874,3,1
828,2,0
875,0,0
830,0,0
876,1,1
713,3,0
745,2,0
747,2,1
877,3,1
878,0,1
879,0,1
880,0,0
881,2,1
882,0,0
883,0,1
884,2,0
798,0,0
885,3,0
753,0,0
823,0,0
886,0,0
887,0,1
888,3,1
772,0,0
719,2,0
889,0,1
890,2,0
774,2,1
825,3,1
891,0,1
892,0,1
803,0,1
893,3,1
804,2,1
894,0,1
805,0,0
895,2,1
856,3,1
