34,2,1
107,3,1
173,2,1
348,3,1
363,3,1
370,3,0
373,3,0
374,3,1
376,3,1
378,3,1
391,3,1
394,3,1
395,3,1
400,3,1
412,0,0
422,2,1
423,3,0
427,3,1
428,3,1
431,0,1
434,3,1
436,0,1
438,3,1
461,1,0
465,0,1
475,3,1
480,3,1
483,3,1
492,0,0
496,3,1
500,0,1
506,1,1
513,0,1
514,3,1
515,3,1
524,3,0
542,3,0
544,3,1
553,3,0
556,3,1
558,3,1
559,3,1
561,2,1
563,3,1
566,3,0
567,3,0
573,2,1
574,2,0
575,3,1
576,2,0
577,3,0
578,2,1
579,3,1
580,3,0
581,0,1
582,3,1
583,2,1
584,2,0
585,3,1
586,0,0
587,3,0
588,3,1
589,2,1
590,3,0
591,3,0
592,3,1
593,2,1
594,3,1
595,2,0
596,0,1
597,2,1
598,2,1
599,2,0
600,1,1
601,3,0
602,0,0
603,3,1
604,3,1
605,2,1
606,3,1
607,0,0
608,2,1
609,3,1
610,3,1
611,2,1
612,3,0
613,0,0
614,3,1
615,0,0
616,2,0
617,3,1
618,2,1
619,3,1
620,0,1
621,2,0
622,2,1
623,0,0
624,0,0
625,2,1
626,3,1
627,3,1
628,3,1
629,3,0
630,2,1
631,2,1
632,3,1
633,2,1
634,3,1
635,3,0
636,2,0
637,0,1
638,0,0
639,3,1
640,2,0
641,3,0
642,0,1
643,3,1
644,3,1
645,2,1
646,3,1
647,3,1
648,2,0
649,3,1
650,1,0
651,0,1
652,3,0
653,3,1
654,3,1
655,2,1
656,3,1
657,2,1
658,2,1
659,0,0
660,0,0
661,1,1
662,3,1
663,2,0
664,2,1
665,3,1
666,2,1
667,0,0
668,0,0
669,0,1
670,3,1
671,3,1
672,0,0
673,3,1
674,0,0
675,3,1
676,3,1
677,3,1
678,2,1
679,3,0
680,3,1
681,3,1
682,3,1
683,0,1
684,3,1
685,3,0
